State Name,UVPbitNoPage,SMBAlert,UVP0,Pok,Vmain,UVP1,readPage
86,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
87,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
88,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
89,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
90,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
91,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
92,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,00
93,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
94,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
95,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
96,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
97,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
98,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
99,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
100,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
101,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
102,0,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,01
103,0,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,01
104,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
105,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
106,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
107,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,00
108,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,00
109,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
110,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
111,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
112,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,00
113,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,00
114,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
115,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),1,00
116,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
117,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
118,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
119,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
120,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
121,1,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,01
122,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
123,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
124,0,(-0.1- 1),0,(-0.1- 1),(-0.1- 1),1,00
125,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
126,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,00
127,1,(3- 3.6),0,(-0.1- 1),(-0.1- 1),1,FF
128,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
129,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
130,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
131,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
132,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
133,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
134,0,(3- 3.6),0,(3- 3.6),(11.8- 12.6),0,FF
135,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
136,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),1,FF
137,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
138,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
139,1,(-0.1- 1),1,(-0.1- 1),(-0.1- 1),0,FF
140,1,(3- 3.6),1,(-0.1- 1),(-0.1- 1),0,FF
141,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
142,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
143,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
144,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
145,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
146,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
147,0,(3- 3.6),0,(-0.1- 1),(-0.1- 1),0,FF
