State Name,UVP0,UVP1,readPage,Pok,SMBAlert,Vmain,UVPbitNoPage
86,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
87,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
88,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
89,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
90,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
91,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
92,0,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
93,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
94,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
95,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
96,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
97,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
98,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
99,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
100,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
101,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
102,1,0,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
103,1,0,01,(-0.1- 1),(3- 3.6),(-0.1- 1),0
104,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
105,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
106,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
107,1,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),1
108,1,0,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
109,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
110,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
111,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
112,0,0,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
113,0,0,00,(3- 3.6),(3- 3.6),(11.8- 12.6),0
114,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
115,1,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
116,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
117,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
118,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
119,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
120,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
121,0,1,01,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
122,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
123,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
124,0,1,00,(-0.1- 1),(-0.1- 1),(-0.1- 1),0
125,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
126,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
127,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
128,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
129,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
130,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
131,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
132,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
133,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
134,0,0,FF,(3- 3.6),(3- 3.6),(11.8- 12.6),0
135,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
136,1,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
137,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
138,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
139,1,0,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
140,1,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
141,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
142,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
143,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
144,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
145,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
146,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
147,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
148,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
149,0,0,FF,(3- 3.6),(3- 3.6),(11.8- 12.6),0
150,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
151,1,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
152,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
153,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
154,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
155,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
156,0,1,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),1
157,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
158,0,1,00,(-0.1- 1),(3- 3.6),(-0.1- 1),0
159,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
160,0,1,FF,(-0.1- 1),(-0.1- 1),(-0.1- 1),1
161,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
162,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
163,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
164,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
165,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
166,0,0,FF,(3- 3.6),(3- 3.6),(11.8- 12.6),0
167,0,0,FF,(-0.1- 1),(3- 3.6),(-0.1- 1),0
